date,cash_type,money,coffee_name,time,year,month,day_of_week,hour,time_period,price_tier
2025-02-08,cash,15.0,Tea,14:26:04,2025,2,Saturday,14,Afternoon,Low
2025-02-08,cash,15.0,Tea,14:28:26,2025,2,Saturday,14,Afternoon,Low
2025-02-08,card,20.0,Espresso,14:33:04,2025,2,Saturday,14,Afternoon,Low
2025-02-08,card,30.0,Chocolate with coffee,15:51:04,2025,2,Saturday,15,Afternoon,High
2025-02-08,cash,27.0,Chocolate with milk,16:35:01,2025,2,Saturday,16,Afternoon,Medium
2025-02-08,card,33.0,Espresso,18:55:30,2025,2,Saturday,18,Evening,High
2025-02-08,cash,29.0,Coffee with Irish whiskey,18:59:03,2025,2,Saturday,18,Evening,High
2025-02-08,cash,27.0,Irish whiskey with milk,19:00:28,2025,2,Saturday,19,Evening,Medium
2025-02-09,card,28.0,Double Irish whiskey,08:45:45,2025,2,Sunday,8,Morning,Medium
2025-02-09,cash,30.0,Chocolate with coffee,10:41:36,2025,2,Sunday,10,Morning,High
2025-02-09,cash,27.0,Double espresso,10:42:55,2025,2,Sunday,10,Morning,Medium
2025-02-09,cash,25.0,Americano with milk,12:18:53,2025,2,Sunday,12,Afternoon,Low
2025-02-09,card,20.0,Espresso,13:28:56,2025,2,Sunday,13,Afternoon,Low
2025-02-09,card,30.0,Cappuccino,15:16:48,2025,2,Sunday,15,Afternoon,High
2025-02-09,card,32.0,Double espresso with milk,15:43:17,2025,2,Sunday,15,Afternoon,High
2025-02-09,card,28.0,Double Irish whiskey,16:14:26,2025,2,Sunday,16,Afternoon,Medium
2025-02-09,card,28.0,Caramel with Irish whiskey,16:23:52,2025,2,Sunday,16,Afternoon,Medium
2025-02-09,card,33.0,Latte,16:25:15,2025,2,Sunday,16,Afternoon,High
2025-02-09,card,33.0,Latte,17:47:17,2025,2,Sunday,17,Evening,High
2025-02-09,card,25.0,Americano with milk,18:01:22,2025,2,Sunday,18,Evening,Low
2025-02-09,card,33.0,Latte,18:01:22,2025,2,Sunday,18,Evening,High
2025-02-09,card,15.0,Tea,18:01:22,2025,2,Sunday,18,Evening,Low
2025-02-09,card,28.0,Caramel with Irish whiskey,18:02:39,2025,2,Sunday,18,Evening,Medium
2025-02-09,cash,29.0,Coffee with Irish whiskey,19:50:36,2025,2,Sunday,19,Evening,High
2025-02-10,cash,25.0,Americano,09:26:07,2025,2,Monday,9,Morning,Low
2025-02-10,cash,25.0,Americano,12:26:32,2025,2,Monday,12,Afternoon,Low
2025-02-10,cash,27.0,Chocolate with milk,18:21:29,2025,2,Monday,18,Evening,Medium
2025-02-11,card,15.0,Tea,09:49:22,2025,2,Tuesday,9,Morning,Low
2025-02-11,card,25.0,Americano,18:35:30,2025,2,Tuesday,18,Evening,Low
2025-02-12,cash,27.0,Chocolate with milk,17:57:46,2025,2,Wednesday,17,Evening,Medium
2025-02-13,card,33.0,Latte,07:55:09,2025,2,Thursday,7,Morning,High
2025-02-13,card,32.0,Double espresso with milk,08:12:14,2025,2,Thursday,8,Morning,High
2025-02-13,card,30.0,Cappuccino,08:47:48,2025,2,Thursday,8,Morning,High
2025-02-13,card,25.0,Americano with milk,10:28:04,2025,2,Thursday,10,Morning,Low
2025-02-14,card,20.0,Espresso,12:33:35,2025,2,Friday,12,Afternoon,Low
2025-02-14,cash,20.0,Espresso,14:27:58,2025,2,Friday,14,Afternoon,Low
2025-02-14,card,28.0,Double Irish whiskey,14:33:41,2025,2,Friday,14,Afternoon,Medium
2025-02-14,cash,20.0,Espresso,16:09:35,2025,2,Friday,16,Afternoon,Low
