date,cash_type,card,money,coffee_name,time,year,month,day_of_week,hour,time_period,price_tier
2024-03-01,card,ANON-0000-0000-0001,38.7,Latte,10:15:50.520,2024,3,Friday,10,Morning,High
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12:19:22.539,2024,3,Friday,12,Afternoon,High
2024-03-01,card,ANON-0000-0000-0002,38.7,Hot Chocolate,12:20:18.089,2024,3,Friday,12,Afternoon,High
2024-03-01,card,ANON-0000-0000-0003,28.9,Americano,13:46:33.006,2024,3,Friday,13,Afternoon,Low
2024-03-01,card,ANON-0000-0000-0004,38.7,Latte,13:48:14.626,2024,3,Friday,13,Afternoon,High
2024-03-01,card,ANON-0000-0000-0005,33.8,Americano with Milk,15:39:47.726,2024,3,Friday,15,Afternoon,Medium
2024-03-01,card,ANON-0000-0000-0006,38.7,Hot Chocolate,16:19:02.756,2024,3,Friday,16,Afternoon,High
2024-03-01,card,ANON-0000-0000-0007,33.8,Americano with Milk,18:39:03.580,2024,3,Friday,18,Evening,Medium
2024-03-01,card,ANON-0000-0000-0008,38.7,Cocoa,19:22:01.762,2024,3,Friday,19,Evening,High
2024-03-01,card,ANON-0000-0000-0008,33.8,Americano with Milk,19:23:15.887,2024,3,Friday,19,Evening,Medium
2024-03-01,card,ANON-0000-0000-0009,33.8,Americano with Milk,19:29:17.391,2024,3,Friday,19,Evening,Medium
2024-03-02,card,ANON-0000-0000-0010,28.9,Americano,10:22:06.957,2024,3,Saturday,10,Morning,Low
2024-03-02,cash,Unknown,40.0,Latte,10:30:35.668,2024,3,Saturday,10,Morning,High
2024-03-02,card,ANON-0000-0000-0011,33.8,Americano with Milk,10:41:41.249,2024,3,Saturday,10,Morning,Medium
2024-03-02,card,ANON-0000-0000-0012,33.8,Americano with Milk,11:59:45.484,2024,3,Saturday,11,Morning,Medium
2024-03-02,card,ANON-0000-0000-0013,28.9,Americano,14:38:35.535,2024,3,Saturday,14,Afternoon,Low
2024-03-02,card,ANON-0000-0000-0014,33.8,Americano with Milk,16:37:24.475,2024,3,Saturday,16,Afternoon,Medium
2024-03-02,card,ANON-0000-0000-0004,28.9,Americano,17:34:54.969,2024,3,Saturday,17,Evening,Low
2024-03-03,cash,Unknown,40.0,Latte,10:10:43.981,2024,3,Sunday,10,Morning,High
2024-03-03,card,ANON-0000-0000-0015,38.7,Latte,10:27:18.561,2024,3,Sunday,10,Morning,High
2024-03-03,card,ANON-0000-0000-0016,28.9,Cortado,11:33:56.118,2024,3,Sunday,11,Morning,Low
2024-03-03,card,ANON-0000-0000-0012,28.9,Americano,12:26:56.098,2024,3,Sunday,12,Afternoon,Low
2024-03-03,card,ANON-0000-0000-0017,38.7,Hot Chocolate,13:09:36.321,2024,3,Sunday,13,Afternoon,High
2024-03-03,card,ANON-0000-0000-0018,38.7,Cocoa,17:06:40.271,2024,3,Sunday,17,Evening,High
2024-03-03,card,ANON-0000-0000-0019,28.9,Cortado,17:08:45.895,2024,3,Sunday,17,Evening,Low
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano with Milk,18:03:23.369,2024,3,Sunday,18,Evening,Medium
2024-03-03,card,ANON-0000-0000-0020,33.8,Americano with Milk,18:04:27.946,2024,3,Sunday,18,Evening,Medium
2024-03-03,card,ANON-0000-0000-0020,38.7,Hot Chocolate,18:08:04.959,2024,3,Sunday,18,Evening,High
2024-03-04,card,ANON-0000-0000-0001,38.7,Latte,10:03:51.994,2024,3,Monday,10,Morning,High
2024-03-04,card,ANON-0000-0000-0021,38.7,Latte,10:54:50.958,2024,3,Monday,10,Morning,High
2024-03-04,card,ANON-0000-0000-0012,33.8,Americano with Milk,11:05:16.184,2024,3,Monday,11,Morning,Medium
2024-03-04,card,ANON-0000-0000-0022,24.0,Espresso,14:04:37.734,2024,3,Monday,14,Afternoon,Low
2024-03-05,card,ANON-0000-0000-0001,38.7,Latte,09:59:52.651,2024,3,Tuesday,9,Morning,High
2024-03-05,card,ANON-0000-0000-0023,38.7,Latte,14:34:55.963,2024,3,Tuesday,14,Afternoon,High
2024-03-05,card,ANON-0000-0000-0024,38.7,Latte,17:34:06.043,2024,3,Tuesday,17,Evening,High
2024-03-05,card,ANON-0000-0000-0025,38.7,Hot Chocolate,17:35:25.021,2024,3,Tuesday,17,Evening,High
2024-03-05,card,ANON-0000-0000-0026,38.7,Cocoa,17:36:28.571,2024,3,Tuesday,17,Evening,High
2024-03-05,card,ANON-0000-0000-0027,38.7,Hot Chocolate,17:37:13.659,2024,3,Tuesday,17,Evening,High
2024-03-05,card,ANON-0000-0000-0009,38.7,Hot Chocolate,17:38:09.354,2024,3,Tuesday,17,Evening,High
2024-03-05,card,ANON-0000-0000-0028,28.9,Cortado,17:56:15.776,2024,3,Tuesday,17,Evening,Low
2024-03-05,card,ANON-0000-0000-0028,38.7,Hot Chocolate,18:01:31.242,2024,3,Tuesday,18,Evening,High
2024-03-06,cash,Unknown,35.0,Americano with Milk,12:30:27.089,2024,3,Wednesday,12,Afternoon,Medium
2024-03-06,card,ANON-0000-0000-0012,28.9,Americano,13:24:07.667,2024,3,Wednesday,13,Afternoon,Low
2024-03-06,card,ANON-0000-0000-0012,28.9,Cortado,13:25:14.351,2024,3,Wednesday,13,Afternoon,Low
2024-03-06,card,ANON-0000-0000-0029,38.7,Cappuccino,14:52:01.761,2024,3,Wednesday,14,Afternoon,High
2024-03-06,card,ANON-0000-0000-0029,38.7,Cappuccino,14:53:18.344,2024,3,Wednesday,14,Afternoon,High
2024-03-07,cash,Unknown,40.0,Latte,10:08:58.945,2024,3,Thursday,10,Morning,High
